Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Bahu,Shakti Samanta,"Karan Dewan, Usha Kiran, Pran, Johnny Walker, Shashikala, Mehmood, Tun Tun, Bipin Gupta",Social Family Drama,,1955,Music: Hemant Kumar Lyrics: S. H. Bihari,,
Bandish,Satyen Bose,"Ashok Kumar, Meena Kumari, Daisy Irani, Nazir Hussain, Bhagwan, Shammi, Pratima Devi, Bipin Gupta, Mehmood, Indira Bansal",Family Comedy Drama,,1955,"Music: Hemant Kumar Lyrics: Jan Nissar Akhtar, Prem Dhawan, Ravi, S. H. Bihari",,
Bara-Dari,K. Amarnath,"Geeta Bali, Ajit, Pran, Chandrashekhar, Tiwari, Gope, Murad, Cuckoo, Minu Mumtaz, Sapru",Social,,1955,Music: Shaukat Dehlvi Nashad Lyrics: Khumar Barabankvi,,
Bhagwat Mahima,V. Panchotia,"Nirupa Roy, Prem Adib, Kishore Kumar, Ashok Kumar, Nimmi, Shyama, Krishna Kumari, Sunder, Madan Puri, Om Prakash, David, S. N. Tripathi",Devotional,,1955,"Music: Hemant Kumar Lyrics: S. H. Bihari, Saraswati Kumar Deepak, Pandit Madhur",,
Bihar Ke Darshaniya Sthan,Ritwik Ghatak,,Documentary,,1955,,,
Bindiya,Shamim Bhagat,"Shekhar, Kumkum Sulochana, Leela Mishra, Mukri, Tun Tun, Shakuntala",Social Family Drama,,1955,Music: Snehal Bhatkar Lyrics: Bharat Vyas,,
Carnival Queen,Noshir Engineer,"Fearless Nadia, John Cawas, Sardar Mansur, Habib, Shanti Modak,",Action,,1955,Music: Shafi M. Nagri Lyrics: Preetam Dehlvi,,
Char Paise,N. K. Ziri,"Kishore Kumar, Shyama, Nimmi, Jayant, Johnny Walker, Nishi, Agha, Anwar Hussain, Mukri, Roop Mala",Social Comedy,,1955,Music: B. D. Burman Lyrics: Sartaj Rahmani,,
Chhora Chhori,Kidar Sharma,"Geet Bali, Johnny Walker, Agha, Tony Walker, Nazira, Pesi Patel, Pratima Devi, Nand Kishore, Rashid Khan",Social,,1955,Music: Roshan Lyrics: Kedar Sharma,,
Chingari,S. Srivastava,"Shekhar, Nalini Jaywant, Pran, Leela Mishra, Sunalini Devi",Social,,1955,"Music: Manohar Lyrics: Sahir Ludhianvi, Shailendra, Anjum",,
Chirag-e-Cheen,"C. M. Trivedi, G. P. Pawar","Mahipal, Sumitra Devi, Vijaylaxmi, Sapru, Krishna Kumari, Bipin Gupta",Fantasy,,1955,Music: S. N. Tripathi Lyrics: Raja Mehdi Ali Khan,,
Daku,Aspi Irani,"Shammi Kapoor, Shashikala, Kuldip Kaur, Prem Adib, Anwar Hussain, W. M. Khan, Babu Raje, Azurie, Sheikh",Costume Action Drama,,1955,"Music: Snehal Bhatkar Lyrics: Kaif Irfani, Manohar Khanna",,
Darbar,Nanubhai Vakil,"Mahipal, Chitra, Tiwari, Sunder, Niranjan Sharma, Sunder",Costume,,1955,Music: Hansraj Behl Lyrics: Asad Bhopali,,
Deewar,"S. Khalil, Ameen","Karan Dewan, Munnawar Sultana Sheikh Mukhtar, Murad, Bhagwan, Shammi, Sudhir, Sultan",Social,,1955,Music: Mohammed Shaikh,,
Devdas,Bimal Roy,"Dilip Kumar, Suchitra Sen, Vyjayanthimala, Motilal, Murad, Pran",Tragedy Drama Romance,,1955,Music: Sachin Dev Burman Lyrics: Sahir Ludhianvi,,
Do Dulhe,K J Mahadevan,"Shyama, Sajjan, Agha, David, Lalita Pawar, Kanhaiyalal, Achala Sachdev, Vanaja, Ishwarlal",Social,,1955,Music: B. S. Kalla Lyrics: Pandit Indra,,
Duniya Gol Hai,Om Prakash,"Karan Dewan, Anita Guha, P. Jairaj, Kuldip Kaur, Shashikala, Madan Puri, Om Prakash, Indu Paul, Sunder",Social,,1955,Music: C. Ramchandra Lyrics: Rajendra Krishan,,
Ekadashi,Gunjal,"Trilok Kapoor, Mala Sinha, Sulochana, Jeevan, Gopi, Ratan Kumar, Badri Prasad, Amar",Devotional,,1955,Music: Avinash Vyas Lyrics: B. C. Madhur,,
Faraar a.k.a. Dev Anand in Goa,Phani Mazumdar,"Dev Anand, Geeta Bali, Mehmood, Manmohan Krishan, Randhir, Krishna Kant",Crime Social Drama,,1955,Music: Anil Biswas Lyrics: Prem Dhawan,,
Ganga Maiyya,Chandrakant,"Prem Adib, Sumitra, Trilok Kapoor, Asha Mathur, Jeevan, Sapru, S. N, Tripathi, Bipin Gupta, Moni Chatterjee, Shakuntala Paranjpye",Devotional,,1955,Music: Shankar Rao Vyas Lyrics: Ramesh Chandra Pandey,,
Garam Coat,,"Balraj Sahani, Nirupa Roy, Jayant, Brahm Bhardwaj, Rashid Khan, Vijayalaxmi",Social Drama,,1955,Music: Amar Nath Lyrics: Majrooh Sultanpuri,,
Ghamand,Dharam Kumar,"Shyama, Sheila Ramani, Kamal Mehra, Murad, Raj Kumar, Seeta Bose",Social Drama,,1955,Music: Gulshan Sufi Lyrics: Naqsh Lyallpuri,,
Ghar Ghar Mein Diwali,Gajanan Jagirdar,"Shyama, Sajjan, Gajanan Jagirdar, Manorama, Eruch Tarapore",Social,,1955,"Produced by Sohrab Modi. Music: Roshan Lyrics: Indeevar, Prem Dhawan",,
Ha Ha Hee Hee Ho Ho,P. L. Santoshi,"Shyama, Sajjan, Radhakrishnan, Raja Gosavi, Ranjana, Ruby Myers",Comedy,,1955,Music: Vinod Lyrics: Pyarelal Santoshi,,
Haseena,J. P. Advani,"Shyama, Amarnath, P. Jairaj, Durga Khote, Krishna Kumari, Manmohan Krishan, Kumkum",Costume Drama,,1955,Music: Bulo C. Rani Lyrics: Jan Nisar Akhtar,,
Hatimtai Ki Beti,Nanubhai Vakil,"Mahipal, Chitra, Krishna Kumari, Kumkum, Helen, Maruti, Naaz, Hiralal",Fantasy,,1955,"Music: A. R. Qureshi Lyrics: Shewan Rizvi, Kaifi Azmi",,
Hoor-E-Arab,P. N. Arora,"Pradeep Kumar, Chitra, Sajjan, Shashikala, Om Prakash, Helen, Gope, Shammi",Fantasy,,1955,Music: Ghulam Mohammad Lyrics: Shakeel Badayuni,,
House No. 44,M. K. Burman,"Dev Anand, Kalpana Kartik, K. N. Singh, Prabhu Dayal, Kumkum, Bhagwan, Kammo, Rashid Khan, Sheela Vaz",Thriller Romance,,1955,Music: S. D. Burman Lyrics: Sahir Ludhianvi|,,
Inam,M. I. Dharamsey,"Suraiya, Nasir Khan, Yakub, Pratima Devi, Mukri, Bimla Kumari",Social,,1955,"Music: S. N. Tripathi, Saraswati Devi",,
Insaniyat,S.S Vasan,"Dilip Kumar, Dev Anand, Bina Rai, Jayant, P. Jairaj, Shobhna Samarth, Agha, Badri Prasad",Costume Social Drama,,1955,Music: C. Ramachandra Lyrics: Rajendra Krishan,,
Jagadguru Shankaracharya,Sheikh Fattelal,"Abhi Bhattacharya, Krishna Kumari, Durga Khote, Sulochana Chatterjee, Helen, Sapru, Kanchanmala, Nanda",Biography Portrait,,1955,Music: Avinash Vyas Lyrics: Bharat Vyas,,
Jalti Nishani,Tara Harish,"Geeta Bali, Kamal Kapoor, Kuldip Kaur, Ulhas, Sunder, Chaman Puri, Nazir Kashmiri",Social,,1955,Music: Anil Biswas Lyrics: Qamar Jalalabadi,,
Jalwa,Roop K. Shorey,"Meena Shorey, Karan Dewan, Begum Para, Amarnath and Ratan",Social,,1955,"Music: Vinod Lyrics: Raja Mehdi Ali Khan, Kaif Irfani, Verma Malik, Aziz Kashmiri, Saraswati Kumar Deepak",,
Jashan,S. Shamsuddin,"Vyjayantimala, Karan Dewan, Kuldip Kaur, Pran, Agha, Johnny Walker, Murad, Randhir",Social Drama,,1955,Music: Roshan Lyrics: Rajendra Krishan,,
Jasoos,R. D. Rajput,"Kumkum, Kamran, Neeru, Nazir Kashmiri, Habib",Action,,1955,"Music: Iqbal Lyrics: Faruk Kaiser, Khawar Zaman, Aziz Jamali, Bahaar Ajmeri",,
Jawab,Ismail Memon,"Geeta Bali, Balraj Sahni, Nasir Khan, Johnny Walker, Mukri, Achala Sachdev, Tun Tun, Ashraf Khan",Social Drama,,1955,Music: Nashad Lyrics: Khumar Barabankvi,,
Jhanak Jhanak Payal Baje,V. Shantaram,"Sandhya, Gopi Krishna, Bhagwan, Keshavrao Date, Madan Puri, Manorama, Nana Palsikar",Musical Drama,,1955,"Filmfare Awards for Best Movie, Direction (V. Shantaram), Best Art Direction (Kanu Desai), and Sound Design (A. K. Parmar). National Film Award for Best Feature Film. Music: Vasant Desai Lyrics: Hasrat Jaipuri, Saraswati Kumar Deepak, Deewan Sharar, Meera Bai",,
Joru Ka Bhai,Chetan Anand,"Balraj Sahni, Sheila Ramani, Johnny Walker, Kumkum, Parveen Paul, Vijay Anand, Rashid Khan",Social Drama,,1955,"Music: Jaidev Lyrics: Vishwamitra Adil, Sahir Ludhianvi",,
Jungle Ka Jadoo,Nari Ghadiali,"John Cawas, Leela Gupta, Ashima Bannerjee, Manorama, Habib, Shanta Patel",Fantasy Action,,1955,"Music: A. K. Prem Lyrics: Preetam Dehlvi, Ratanlal Khanjar, Sheikh Adam",,
Kanchan,Brij Sharma,"P. Jairaj, Suraiya, Ranjana, Ajit Raj Mehra, Sapru",Social Drama,,1955,Music: Husnlal Bhagatram Lyrics: Rajendra Krishan,,
Khandaan,M. L. Anand,"Shyama, Anwar Hussain, Lalita Pawar, Maruti, Badri Prasad, Murad, Manmohan Krishna, Sunder",Family Drama,,1955,Music: A. R. Qureshi Lyrics: Ravi,,
Kundan,Sohrab Modi,"Sohrab Modi, Sunil Dutt, Nimmi, Kumkum, Pran, Murad, Om Prakash, Manorama, Roopmala",Social Drama,,1955,Music: Ghulam Mohammad Lyrics: Shakeel Badayuni,,
Lagan,O. P. Dutta,"Nalini Jaywant, Sajjan, Om Prakash, Raj Mehra, Shammi, Randhir, Baby Naaz, David, Ram Avtar, Parshuram",Social,,1955,Music: Hemant Kumar Lyrics: Rajendra Krishan,,
Lakhon Mein Ek,Hira Singh,"P. Jairaj, Asha Mathur, Smriti Biswas, Madan Puri, David, Raj Kumar",Comedy,,1955,Music: Bhola Shreshtha Lyrics: Hira Singh,,
Lutera,Ravindra Dave,"Nasir Khan, Jabeen, Begum Para, Om Prakash, Nazir Hussain, Noor",Costume Action,,1955,"Music: C. Ramchandra Lyrics: Rajendra Krishan, Jan Nisar Akhtar",,
Madhbhare Nain,Hem Chander,"Bina Rai, Kishore Kumar, David, Nazir Hussain, Achala Sachdev, Yashodra Katju, Durga Khote, Badri Prasad, Misra",Social,,1955,Music:S. D. Burman Lyrics: Shailendra,,
Mahasati Savitri,Ramnik Vaidya,"Nirupa Roy, Mahipal, Anjali Devi, B. M. Vyas, Amirbai Karnataki, S. N. Tripathi",Mythology,,1955,Music: Chitragupta Lyrics: Gopal Singh Nepali,,
Marine Drive,G. P. Sippy,"Ajit, Bina Rai, Yakub, K. N. Singh, Vijayalaxmi, Johnny Walker, Hari Shivdasani, Tun Tun, Om Prakash, Anwar Hussain, Jankidas",,,1955,Music: N. Dutta Lyrics: Sahir Ludhianvi,,
Mast Qalandar,Kidar Kapoor,"Mahipal, Shakila, Kuldip Kaur, Tiwari, Johnny Walker, Maruti",Costume,,1955,"Music: Hansraj Behl Lyrics: Asad Bhopali, Naqsh Lyallpuri",,
Mastani,Dhirubhai Desai,"Nigar Sultana, Manhar Desai, Shahu Modak, Jankidas, Agha, Ratnamala",Costume,,1955,"Music: B. N. Bali Lyrics: Raja Mehdi Ali Khan, Omar Khayyam Saharanpuri, B. D. Mishra",,
Milap,Raj Khosla,"Dev Anand, Geeta Bali, K. N. Singh, Johnny Walker, Kumkum",Social,,1955,Music: N. Dutta Lyrics: Sahir Ludhianvi,,
Miss Coca Cola,Kedar Kapoor,"Geeta Bali, Shammi Kapoor, Kuldip Kaur, Om Prakash, Johnny Walker, Kamal Kapoor, Helen, Lalita Pawar, Bhudo Advani, Master Romi",Social,,1955,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,,
Mr. & Mrs. '55,Guru Dutt,"Guru Dutt, Madhubala, Johnny Walker, Lalita Pawar, Yasmin (Vinita Bhatt), Kumkum, Cuckoo, Agha, Jagdeep",Romantic Comedy,,1955,O. P. Nayyar Lyrics: Majrooh Sultanpuri,,
Munimji,Subodh Mukherjee,"Dev Anand, Nalini Jaywant, Pran, Prabhu Dayal, Ameeta, Nirupa Roy, Nazir Hussain",Thriller Romance,,1955,"Music: S. D. Burman Lyrics: Sahir Ludhianvi, Shailendra",,
Musafirkhana (film),M. Sadiq,"Karan Dewan, Shyama, Johnny Walker, Jayant, Kumkum, Gope, Om Prakash, Shammi",Social,,1955,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,,
Naata,D. N. Madhok,"Madhubala, Chanchal, Abhi Bhattacharya, Gope, Kanhaiyalal, Vijaylaxmi, Hiralal",Social,,1955,"Produced by Madhubala. Music: S. Mohinder Lyrics: Tanveer Naqvi, Kaif Irfani",,
Naqab,Lekhraj Bhakri,"Madhubala, Shammi Kapoor, Ajit, Hiralal, Yashodara Katju, Maruti, Asha Mathur",Costume,,1955,Music: Gobindram Lyrics: Prem Dhawan,,
Navratri,Raman B. Desai,"Nirupa Roy, Manhar Desai, Kumkum, Lalita Pawar, Sapru, S. N. Tripathi, Niranjan Sharma",Mythology,,1955,"Music: Chitragupta Lyrics: Gopal Singh Nepali, Bharat Vyas",,
Oonchi Haveli,Dhirubhai Desai,"Nirupa Roy, Karan Dewan, Lalita Pawar, Bhagwan, Yashodara Katju, B. M. Vyas, Jankidas, Niranjan Sharma, Kanchanmala",Social Drama,,1955,Music: Shivram Lyrics: Bharat Vyas,,
Oot Patang,Chandulal J. Shah,"Usha Kiran, Agha, Anwar Hussain, Jankidas, Maruti, Vijaylaxmi, Rashid Khan, Mumtaz Begum",Social,,1955,Music: Vinod Lyrics: D. N. Madhok,,
Patit Pawan,Vasant Painter,"Sapru, Sulochana Chatterjee, Ulhas, Jeevan, Lalita Pawar, Bipin Gupta, Tun Tun, Baby Naaz",Devotional,,1955,Music: Jamal Sen Lyrics: Bharat Vyas,,
Pehli Jhalak,M. V. Raman,"Kishore Kumar, Vyjayantimala, Begum Para, Jawahar Kaul, Shammi, Tun Tun, Asha Parekh, Om Prakash, Dara Singh, Randhawa, Randhir",Social,,1955,Music: C. Ramachandra Lyrics: Rajendra Krishan,,
Postmaster,,,,,1955,Unreleased. Music: Ram Ganguly Lyrics: Verma Malik,,
Pyaara Dushman,Bhagwan,"P. Jairaj, Nadira, Sulochana, Bhagwan, Kumkum, Leela Gupte, Baburao Pendharkar, Vasantrao Pahelwan",,,1955,Music: Nisar Bazmi Lyrics: Saba Afghani,,
C.I.D.,,"Dev Anand, Shakeela",,,1956,,,1.0
Ek Hi Raasta,,"Ashok Kumar, Meena Kumari, Sunil Dutt",,,1956,,,2.0
Chori Chori,,"Raj Kapoor, Nargis",,,1956,,,3.0
Basant Bahar,,"Bharat Bhushan, Nimmi",,,1956,,,4.0
New Delhi,,"KishoreKumar,Vyjayanthimala",,,1956,,,5.0
Raj Hath,,"Madhubala, Pradeep Kumar",,,1956,,,6.0
Bhai-Bhai,,"Ashok Kumar, Kishore Kumar, Nimmi, Shyama",,,1956,,,7.0
Toofan Aur Diya,,"Rajendra Kumar, Nanda",,,1956,,,8.0
Funtoosh,,"Dev Anand, Sheila Ramani",,,1956,,,9.0
Inspector,,"Ashok Kumar, Geeta Bali",,,1956,,,10.0
26 January,Ramesh Saigal,"Ajit, Nalini Jaywant, Nishi, Johnny Walker, B. M. Vyas, Leela Mishra, Sapru, Randhir, Cuckoo, Gajanan Jagirdar, Chaman Puri, Jagdish Sethi",Fantasy Costume Drama,,1956,Music: C. Ramchandra Lyrics: Rajendra Krishan,,
Aabroo,Chaturbhuj Doshi,"Kamini Kaushal, Kishore Kumar, Smriti Biswas, Amir Bano, Madan Puri, Achala Sachdev, Roopmala, Tun Tun, Joginder Singh Lal",Romance,,1956,"Music: Bulo C. Rani Lyrics: D. N. Madhok, Gopal Singh Nepali, Raja Mehdi Ali Khan",,
Aan Baan,D. D. Kashyap,"Ajit, Nalini Jaywant, Usha Kiran, Pran, Mahipal, Manmohan Krishna, Ulhas, Niranjan Sharma",Drama Action,,1956,Music: Husnlal Bhagatram Lyrics: Qamar Jalalabadi,,
Aankh Ka Nasha,Ved Madan,"Anita Guha, M. Rajan, Shammi, Helen, W. M. Khan, Amar, Chaman Puri, Raj Mehra",Costume Action,,1956,Music: Dhani Ram Lyrics: Harsh,,
Aastik,S. P. Kalla,"Shahu Modak, Paro Devi, Meenakshi, B. M. Vyas, Praveen Paul",Devotional,,1956,Music: Narayan Dutt Lyrics: S. P. Kalla,,
Alam Ara,Nanubhai Vakil,"Daljeet, Chitra, Tiwari, Niranjan Sharma, Minu Mumtaz, W. M. Khan, Heera Sawant, Maruti, Rajan Haksar",Costume Action,,1956,Music: A. R. Qureshi Lyrics: Shewan Rizvi,,
Amarsingh Rathaur,Jaswant Zaveri,"P. Jairaj, Nirupa Roy, Veena, Murad, Sapru, Minu Mumtaz, Ratnamala, Yashodhara Katju, Sunder, Helen",Historical,,1956,Music: Sanmukh Babu Lyrics: Bharat Vyas,,
Anjaan,M. Sadiq,"Vyjayantimala, Pradeep Kumar, Premnath, Jeevan, Mubarak, Johnny Walker, Shammi, Amar, Helen, Raj Mehra, Ram Avtar",Romance Drama,,1956,Music: Hemant Kumar Lyrics: Rajendra Krishan,,
Anuraag,Madhusadan,"Mukesh, Usha Kiran, Pratima Devi, Tun Tun, Shivraj, Mridula",Social,,1956,"Music: Mukesh Lyrics: Indeevar, Kaif Irfani",,
Arab Ka Saudagar,S. D. Narang,"Pradeep Kumar, Smriti Biswas, Shashikala, Sunder, Kathana, S. D. Narang",Costume Action,,1956,"Music: Hemant Kumar Lyrics: S.H. Bihari, Ravi",,
Awara Shahzadi,Pyarelal,"Meena Shorey, Daljeet, Sheila Ramani, Johnny Walker, Malika, Maqbul, Heera Sawant, Habib",Action Costume,,1956,"Music: Nashad, Jimmy Lyrics: Sartaj Rahmani, Khawar Zaman",,
Awaz,Zia Sarhadi,"Nalini Jaywant, Usha Kiran, Rajendra Kumar, Murad, Mukri, Zul Vellani, Leela Chitnis, Nazir Hussain, Jayant, Sapru",Social,,1956,"Music: Salil Chowdhury Lyrics: Shailendra, Zia Sarhadi, Vishwamitra Adil, Prem Dhawan",,
Ayodhyapati,S. Fattelal,"Usha Kiran, Abhi Bhattacharya, Anant Kumar, Achala Sachdev, Sapru, Kanchanmala, Ratnamala, Manorama",Mythology,,1956,Music: Ravi Lyrics: Saraswati Kumar Deepak,,
Badal Aur Bijli,Maurice,"Manhar Desai, Ameeta, Yashodhara Katju, Kumar, Manorama, Anwar Hussain, Rajan Haksar, Heera Sawant, Habib",Action,,1956,Music: Bipin Babul Lyrics: Anjum Jaipuri,,
Badshah Salamat,Prem Sinha,"Chandrashekhar, Shyama, Smriti Biswas, Bhagwan, Amarnath, Minu Mumtaz, B. M. Vyas, Tiwari, Heera Sawant, Anwar Hussain",Costume Action,,1956,"Music: Bulo C. Rani Lyrics: Pyarelal Santoshi, Raja Mehdi Ali Khan, Shafiq Kanpuri, Vinay Kumar, K. Razdan",,
Baghdad Ka Jadu a.k.a. Magic of Baghdad,John Cawas,"John Cawas, Nadia, Krishna Kumari, Vijaya Chaudhary, Nazir Kashmiri, Ratan Kumar",Action Fantasy,,1956,Music: Shafi M. Nagri Lyrics: Preetam Dehlvi,,
Bajrang Bali,Manibhai Vyas,"Mahipal, Nirupa Roy, Chandrashekhar, Tiwari, Minu Mumtaz, Moni Chatterjee, Kammo, Kamal Kapoor",Religious,,1956,Music: S. N. Tripathi Lyrics: B. D. Mishra,,
Bal Ramayan,Vijay Bhatt,"Shahu Modak, Shobhana Samarth, Prem Adib",Children Religious,,1956,,,
Bandhan,Hemchander Chander,"Meena Kumari, Pradeep Kumar, Motilal, Shashikala, David, Achala Sachdev, Leela Mishra, Minu Mumtaz, Nana Palsikar, Kammo",Drama,,1956,Music: Hemant Kumar Lyrics: Rajendra Krishan,,
Basant Bahar,Raja Nawathe,"Bharat Bhushan, Nimmi, Kumkum, Om Prakash, Manmohan Krishna, Chand Burque, Leela Chitnis",Romance Musical,,1956,Music: Shankar Jaikishan Lyrics: Shailendra and Hasrat Jaipuri,,
Basant Panchami,Jayant Desai,"Nirupa Roy, Anant Kumar, Kumkum, Jeevan, Radhakishan, S. N. Tripathi, Niranjan Sharma, Naazi",Devotional,,1956,Music: Chitragupta Lyrics: Kavi Pradeep,,
Bhagam Bhag,Bhagwan,"Bhagwan, Kishore Kumar, Smriti Biswas, Kumkum, Shashikala, Badri Prasad, Tiwari, Kanchanmala, Parshuram",Comedy,,1956,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,,
Bhai-Bhai,M. V. Raman,"Ashok Kumar, Shyama, Kishore Kumar, Nimmi, David, Om Prakash, Daisy Irani, Shivraj",Family Drama,,1956,Music: Madan Mohan Lyrics: Rajendra Krishan,,
C.I.D.,Raj Khosla,"Dev Anand, Shakila, Johnny Walker, Introducing: Waheeda Rehman, K. N. Singh, Minu Mumtaz, Mehmood, Jagdish Raj, Tun Tun, Sheela Vaz",Crime Suspense Romance,,1956,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,,
Caravan,Rafiq Rizvi,"Mahipal, Shakila, Yashodra Katju, Hiralal",Action,,1956,Music: Mohinder Singh Sarna Lyrics: Tanvir Naqvi,,
Char Dost,Nitin Bose,"Vishwanath, Kamar, Bhola, Kammo",Children,,1956,Produced by Children's Film Society. Music: B. Balsara Lyrics: Uday Khanna,,
Char Minar,Ravindra Dave,"Nasir Khan, Bhagwan, Jabeen, Anjali Devi, Rashid Khan, Helen, Naazi",Costume Drama,,1956,Music: Sardul Kwatra Lyrics: Vishwamitra Adil,,
Chhoo Mantar,M. Sadiq,"Johnny Walker, Karan Dewan, Shyama, Anita Guha, Gajanan Jagirdar, Amar, Raj Mehra, Nazir Kashmiri",Comedy,,1956,Music: O. P. Nayyar Lyrics: Jan Nisar Akhtar,,
Chori Chori,Anant Thakur,"Raj Kapoor, Nargis, Pran, Johnny Walker, Gope, Bhagwan, Rajasulochana",Romantic Comedy,,1956,Music: Shankar Jaikishan won the Filmfare Award for Best Music Director. Lyrics: Shailendra and Hasrat Jaipuri,,
Dashehra,Chaturbhuj Doshi,"Shahu Modak, Nirupa Roy, Daisy Irani, Surendra, Yashodhra Katju, Kumkum, Tiwari, Mohan Choti, Gajanan Jagirdar, S. N. Tripathi, Jagdish Kanwal",Devotional,,1956,Music: Datta Naik Lyrics: Kavi Pradeep,,
Dilli Durbar,Chandrakant Desai,"Sumitra, Ulhas, Rehana, Sapru, Veena, S. N. Tripathi, Tun Tun, Kammo",Costume Drama,,1956,Music: S. N. Tripathi Lyrics: Shailendra,,
Devta,Pattanna,"Vyjantimala, Anjali Devi, Gemini Ganesh, Krishna Kumari, M. N. Nambiar, Daisy Irani, Agha, Bipin Gupta, Indira Bansal",Fantasy Drama,,1956,Music: C. Ramachandra Lyrics: Rajendra Krishan,,
Dhake Ki Malmal,J. K. Nanda,"Kishore Kumar, Madhubala, Shashikala, Jagdeep, Ulhas, Jeevan, Sajjan",Social,,1956,"Music: O. P. Nayyar, Robin Chatterjee Lyrics: Jan Nisar Akhtar, D. N. Madhok, Saroj Mohini Nayyar",,
Dhola Maru,N. R. Acharya,"Pradeep Kumar, Rehana, Kumkum, Achala Sachdev, Sapru, Ulhas, Amar",Legend,,1956,Music: S. K. Pal Lyrics: Bharat Vyas,,
Diwali Ki Raat,Dharam Kumar,"Talat Mahmood, Roopmala, Shashikala, Neeroo, Moti Sagar, Leela Mishra, Gope",Social,,1956,"Music: Snehal Bhatkar Lyrics: Naqsh Lyallpuri, Pandit Phani, Madhukar Rajasthani",,
Durgesh Nandini,B. Mitra,"Nalini Jaywant, Pradeep Kumar, Bina Rai, Ajit, Nigar Sultana, I. S. Johar, Jeevan, Sapru, Jankidas, Murad, Sheela Vaz",Costume Drama,,1956,"Music: Hemant Kumar, Lyrics: Rajendra Krishan",,
Ek Shola,Chander Saigal,"Mala Sinha, Pradeep Kumar, Shobha Khote, Leela Mishra, Nazir Hasain, Dhumal, Jawahar Kaul, Naaz",Family Drama,,1956,Music: Madan Mohan Lyrics: Majrooh Sultanpuri,,
Ek Hi Rasta,B. R. Chopra,"Ashok Kumar, Meena Kumari, Sunil Dutt, Kumkum, Daisy Irani, Brahm Bhardwaj, Yashodra Katju, Jeevan, Nazir Kashmiri",Social Drama,,1956,Music: Hemant Kumar Lyrics: Majrooh Sultanpuri,,
Fifty Fifty,R. L. Malhotra,"Nalini Jaywant, M. Rajan, Om Prakash, Manmohan Krishan, David, Gope, Helen, Tun Tun, Jayant",Double role Drama,,1956,Music: Madan Mohan Lyrics: Majrooh Sultanpuri,,
Fighting Queen,Nari Ghadiali,"John Cawas, Nadia, Pramila, Habib, Sheikh",Action,,1956,Music: Nisar Lyrics: Saba Afghani,,
Funtoosh,Chetan Anand,"Dev Anand, Sheila Ramani, Kumkum, Krishan Dhawan, Jagdish Raj, Leela Chitnis",Romance Comedy Drama,,1956,Music: S. D. Burman Lyrics: Sahir Ludhianvi,,
Gauri Puja,Vinod Desai,"Abhi Bhattacharya, Nirupa Roy, Kumkum, Yashodhara Katju, Lalita Pawar, Sunder, Sulochana, Sapru",Devotional,,1956,Music: Manna Dey Lyrics: Gopal Singh Nepali,,
Ghulam Begum Badshah,Jugal Kishore,"Daljeet, Sheila Ramani, Nishi, Johnny Walker, W. M. Khan, Malika",Action Drama,,1956,"Music: Sudipt Lyrics: Indeevar, Shauqat Pardesi, Shyam Hindi",,
Halaku,D.D. Kashyap,"Ajit, Meena Kumari, Pran, Veena, Minu Mumtaz, Sunder, Shammi, Raj Mehra, Helen",Costume Drama,,1956,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Hum Sab Chor Hain,I. S. Johar,"Shammi Kapoor, Nalini Jaywant, Ameeta, I. S. Johar, Rajendra Nath, Pran, Ram Avtar, Badri Prasad, Kanu Roy",Comedy Drama,,1956,Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri,,
Hamara Watan,Jayant Desai,"Bina Rai, Premnath, Agha, Kumkum, Jagdish Kanwal, Nazir Kashmiri, S. N. Tripathi",Social,,1956,"Music: Hemant Kumar Lyrics: S. H. Bihari, Raja Mehdi Ali Khan, Ravi",,
Hatim Tai,Homi Wadia,"P. Jairaj, Shakila, Krishna Kumari, W. M. Khan, S. N. Tripathi, B. M. Vyas, Meenakshi",Fantasy,,1956,"Music: S. N. Tripathi Lyrics: Raja Mehdi Ali Khan, B. D. Mishra, Akhtar Romani, Chand Pandit",,
Heer,Hameed Butt,"Nutan, Pradeep Kumar, Krishna Kumari, Lalita Pawar, Murad, Zora Sehgal, Mubarak, Noor, Ulhas, Rashid Khan",Folklore Romance,,1956,"Music: Anil Biswas Lyrics: Majrooh Sultanpuri, Rajendra Krishan",,
Hotel,Manmohan Sabir,"Geeta Bali, P. Jairaj, Pran, Jayant, Achala Sachdev, Jankidas, Shammi, Nazir Kashmiri",Social,,1956,"Music: Suresh Talwar, Shankar Dasgupta Lyrics: Khawar Zaman, Manmohan Sabir",,
Husn Banoo,Akkoo,"Mahipal, Shakila, Hiralal, Tun Tun, Habib, Gulab, Kammo",Costume Drama,,1956,"Music: Ramlal Heerapanna Lyrics: Sartaj Rahmani, Pyarelal Santoshi, Sahir Chandpuri",,
Inquilab,Kedar Kapoor,"Shyama, Ranjan, Kuldip Kaur, Sapru, Tiwari, Helen, Sunder",Action,,1956,Music: Hansraj Behl Lyrics: Raja Mehdi Ali Khan,,
